instance,n,m,D,algorithm,seed,cmax,fes_used,max_fes,iters,wall_s,st_sense,operator_space,branch_granularity,strict_fe_cap,N,ST,L,U,dmin,dmax,git_sha,timestamp,fe_per_seed,n_seeds,branch_A_swap,branch_B_sym_shift,branch_C_eq3,branch_D_eq4,branch_E_eq_perdim
ta14,20,15,300,ATSA,0,1761,300312,300000,765,3.694,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:54:03+00:00,1.3999,214501,21305,85771,80455,26970,0
ta14,20,15,300,ATSA,1,1501,300067,300000,765,3.717,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:54:03+00:00,1.3979,214630,21521,85397,80615,27097,0
ta14,20,15,300,ATSA,2,1610,300150,300000,764,3.709,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:54:03+00:00,1.3991,214508,21665,85602,80240,27001,0
ta14,20,15,300,ATSA,3,1579,300344,300000,764,3.521,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:54:03+00:00,1.4016,214265,21217,86039,80242,26767,0
ta14,20,15,300,ATSA,4,1645,300280,300000,767,3.609,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:54:03+00:00,1.3988,214639,21421,85601,80835,26782,0
ta14,20,15,300,ATSA,5,1575,300408,300000,768,3.59,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:54:03+00:00,1.3978,214879,21727,85489,80581,27082,0
ta14,20,15,300,ATSA,6,1639,300321,300000,768,3.736,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:54:03+00:00,1.3979,214802,21409,85479,80679,27235,0
ta14,20,15,300,ATSA,7,1573,300339,300000,766,3.643,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:54:03+00:00,1.3994,214587,21451,85712,80773,26651,0
ta14,20,15,300,ATSA,8,1606,300348,300000,767,3.687,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:54:03+00:00,1.4005,214424,21407,85884,80472,26661,0
ta14,20,15,300,ATSA,9,1471,300057,300000,765,3.565,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:54:03+00:00,1.3987,214497,21627,85520,80651,26699,0
ta14,20,15,300,ATSA,10,1603,300216,300000,767,3.631,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:54:03+00:00,1.4005,214332,21274,85844,80387,26827,0
ta14,20,15,300,ATSA,11,1655,300068,300000,766,3.682,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:54:03+00:00,1.4,214307,21449,85721,80384,26753,0
ta14,20,15,300,ATSA,12,1602,300279,300000,766,3.665,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:54:03+00:00,1.4006,214364,21479,85875,80204,26806,0
ta14,20,15,300,ATSA,13,1591,300272,300000,764,3.599,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:54:03+00:00,1.4015,214229,21497,86003,80127,26602,0
ta14,20,15,300,ATSA,14,1635,300324,300000,768,3.648,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:54:03+00:00,1.3981,214774,21595,85510,80720,26949,0
ta14,20,15,300,ATSA,15,1525,300095,300000,768,3.638,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:54:03+00:00,1.3988,214514,21730,85541,80281,26962,0
ta14,20,15,300,ATSA,16,1583,300129,300000,765,3.644,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:54:03+00:00,1.3993,214461,21554,85628,80519,26760,0
ta14,20,15,300,ATSA,17,1595,300124,300000,765,3.696,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:54:03+00:00,1.4019,214054,21321,86030,80376,26327,0
ta14,20,15,300,ATSA,18,1608,300011,300000,764,3.717,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:54:03+00:00,1.4014,214047,21318,85924,80042,26763,0
ta14,20,15,300,ATSA,19,1615,300248,300000,766,3.567,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T11:54:03+00:00,1.3986,214644,21489,85564,80478,27113,0
