instance,n,m,D,algorithm,seed,cmax,fes_used,max_fes,iters,wall_s,st_sense,operator_space,branch_granularity,strict_fe_cap,N,ST,L,U,dmin,dmax,git_sha,timestamp,fe_per_seed,n_seeds,branch_A_swap,branch_B_sym_shift,branch_C_eq3,branch_D_eq4,branch_E_eq_perdim
ta71,100,20,2000,ATSA,0,6633,2000129,2000000,5105,363.003,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:26:45+00:00,1.3995,1429141,143236,570948,536508,178449,0
ta71,100,20,2000,ATSA,1,6427,2000122,2000000,5103,361.537,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:26:43+00:00,1.3998,1428826,142621,571256,536321,178628,0
ta71,100,20,2000,ATSA,2,6288,2000114,2000000,5103,363.011,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:26:45+00:00,1.3993,1429304,142903,570770,536909,178722,0
ta71,100,20,2000,ATSA,3,6417,2000049,2000000,5106,363.386,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:26:45+00:00,1.3995,1429063,143049,570946,536046,179022,0
ta71,100,20,2000,ATSA,4,6424,2000271,2000000,5107,361.856,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:26:44+00:00,1.3994,1429364,143140,570867,536451,178906,0
ta71,100,20,2000,ATSA,5,6353,2000339,2000000,5104,363.5,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:26:45+00:00,1.3995,1429346,143041,570953,536645,178707,0
ta71,100,20,2000,ATSA,6,6402,2000343,2000000,5104,361.798,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:26:44+00:00,1.4,1428829,142913,571474,535394,179048,0
ta71,100,20,2000,ATSA,7,6436,2000242,2000000,5106,362.455,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:26:44+00:00,1.4,1428756,142706,571446,536289,178315,0
ta71,100,20,2000,ATSA,8,6327,2000398,2000000,5103,344.482,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:26:26+00:00,1.3998,1429021,142997,571337,535769,178918,0
ta71,100,20,2000,ATSA,9,6256,2000013,2000000,5101,363.092,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:26:45+00:00,1.3997,1428856,142704,571117,536517,178518,0
ta71,100,20,2000,ATSA,10,6334,2000397,2000000,5105,361.762,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:26:44+00:00,1.4003,1428479,142541,571878,535750,178310,0
ta71,100,20,2000,ATSA,11,6474,2000269,2000000,5103,348.521,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:26:30+00:00,1.4,1428706,141968,571523,536246,178969,0
ta71,100,20,2000,ATSA,12,6326,2000105,2000000,5102,343.397,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:26:25+00:00,1.4002,1428374,142574,571691,535044,179065,0
ta71,100,20,2000,ATSA,13,6357,2000366,2000000,5099,344.416,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:26:26+00:00,1.3998,1429056,142923,571270,535960,178903,0
ta71,100,20,2000,ATSA,14,6395,2000288,2000000,5101,362.722,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:26:44+00:00,1.3995,1429222,143349,571026,535984,178863,0
ta71,100,20,2000,ATSA,15,6261,2000248,2000000,5107,362.024,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:26:44+00:00,1.3997,1429066,143042,571142,536106,178776,0
ta71,100,20,2000,ATSA,16,6463,2000173,2000000,5101,362.688,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:26:44+00:00,1.3998,1428898,142651,571235,536145,178867,0
ta71,100,20,2000,ATSA,17,6235,2000186,2000000,5099,343.345,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:26:25+00:00,1.4003,1428397,142612,571749,536097,177939,0
ta71,100,20,2000,ATSA,18,6391,2000077,2000000,5100,363.187,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:26:45+00:00,1.3999,1428698,142871,571339,535920,178568,0
ta71,100,20,2000,ATSA,19,6413,2000139,2000000,5101,362.688,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:26:44+00:00,1.4008,1427869,142557,572230,535040,178042,0
