instance,n,m,D,algorithm,seed,cmax,fes_used,max_fes,iters,wall_s,st_sense,operator_space,branch_granularity,strict_fe_cap,N,ST,L,U,dmin,dmax,git_sha,timestamp,fe_per_seed,n_seeds,branch_A_swap,branch_B_sym_shift,branch_C_eq3,branch_D_eq4,branch_E_eq_perdim
ta51,50,15,750,ATSA,0,3467,750211,750000,1915,38.027,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:01:56+00:00,1.3997,535945,53424,214226,201259,67036,0
ta51,50,15,750,ATSA,1,3272,750237,750000,1913,39.964,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:01:58+00:00,1.3994,536086,53788,214111,201584,66603,0
ta51,50,15,750,ATSA,2,3374,750057,750000,1913,37.652,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:01:56+00:00,1.4002,535633,53549,214384,200815,66885,0
ta51,50,15,750,ATSA,3,3231,750258,750000,1916,37.732,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:01:56+00:00,1.3992,536165,53714,214053,201070,67328,0
ta51,50,15,750,ATSA,4,3490,750231,750000,1914,38.493,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:01:57+00:00,1.3996,536010,53286,214181,201359,67184,0
ta51,50,15,750,ATSA,5,3331,750173,750000,1915,39.657,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:01:58+00:00,1.4001,535788,53622,214345,200791,67030,0
ta51,50,15,750,ATSA,6,3270,750296,750000,1912,39.804,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:01:58+00:00,1.4009,535547,53704,214709,200491,66643,0
ta51,50,15,750,ATSA,7,3300,750374,750000,1912,39.275,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:01:58+00:00,1.3989,536365,53559,213969,201477,67360,0
ta51,50,15,750,ATSA,8,3267,750357,750000,1917,39.637,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:01:58+00:00,1.3994,536163,53778,214154,201205,67026,0
ta51,50,15,750,ATSA,9,3362,750326,750000,1912,39.634,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:01:58+00:00,1.4,535932,53289,214354,201453,66836,0
ta51,50,15,750,ATSA,10,3261,750050,750000,1913,39.663,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:01:58+00:00,1.3996,535865,53338,214145,201617,66765,0
ta51,50,15,750,ATSA,11,3322,750074,750000,1914,39.907,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:01:58+00:00,1.3994,535971,53412,214063,201213,67283,0
ta51,50,15,750,ATSA,12,3523,750229,750000,1913,39.814,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:01:58+00:00,1.4006,535636,53130,214553,200898,67055,0
ta51,50,15,750,ATSA,13,3388,750128,750000,1915,39.762,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:01:58+00:00,1.4001,535744,53547,214344,200999,66854,0
ta51,50,15,750,ATSA,14,3403,750223,750000,1913,39.451,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:01:58+00:00,1.4001,535822,53412,214361,201198,66851,0
ta51,50,15,750,ATSA,15,3361,750147,750000,1914,39.499,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:01:58+00:00,1.4002,535700,53361,214407,200765,67167,0
ta51,50,15,750,ATSA,16,3281,750083,750000,1908,39.663,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:01:58+00:00,1.401,535375,53459,214668,200368,66880,0
ta51,50,15,750,ATSA,17,3311,750321,750000,1916,39.446,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:01:58+00:00,1.4009,535566,53433,214715,200624,66794,0
ta51,50,15,750,ATSA,18,3381,750069,750000,1914,39.809,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:01:58+00:00,1.3988,536207,53702,213822,201232,67451,0
ta51,50,15,750,ATSA,19,3294,750179,750000,1915,38.662,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,be99d56,2026-07-16T12:01:57+00:00,1.401,535449,53469,214690,200953,66337,0
